cfg,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size
vith_gridH_d32_e1280_h16_r4_0,32,1280,16,4.0,1.0,80,4
vith_gridH_d32_e1280_h16_r3_5,32,1280,16,3.5,0.875,80,4
vith_gridH_d32_e1152_h12_r4_0,32,1152,12,4.0,0.81,96,4
vith_gridH_d24_e1280_h16_r4_0,24,1280,16,4.0,0.75,80,4
vith_gridH_d32_e1280_h16_r3_0,32,1280,16,3.0,0.75,80,4
vith_gridH_d32_e1152_h12_r3_5,32,1152,12,3.5,0.70875,96,4
vith_gridH_d24_e1280_h16_r3_5,24,1280,16,3.5,0.65625,80,4
vith_gridH_d32_e1024_h16_r4_0,32,1024,16,4.0,0.64,64,4
vith_gridH_d24_e1152_h12_r4_0,24,1152,12,4.0,0.6075,96,4
vith_gridH_d32_e1152_h12_r3_0,32,1152,12,3.0,0.6075,96,4
vith_gridH_d24_e1280_h16_r3_0,24,1280,16,3.0,0.5625,80,4
vith_gridH_d32_e1024_h16_r3_5,32,1024,16,3.5,0.56,64,4
vith_gridH_d24_e1152_h12_r3_5,24,1152,12,3.5,0.5315625,96,4
vith_gridH_d16_e1280_h16_r4_0,16,1280,16,4.0,0.5,80,4
vith_gridH_d24_e1024_h16_r4_0,24,1024,16,4.0,0.48,64,4
vith_gridH_d32_e1024_h16_r3_0,32,1024,16,3.0,0.48,64,4
vith_gridH_d24_e1152_h12_r3_0,24,1152,12,3.0,0.455625,96,4
vith_gridH_d16_e1280_h16_r3_5,16,1280,16,3.5,0.4375,80,4
vith_gridH_d24_e1024_h16_r3_5,24,1024,16,3.5,0.42,64,4
vith_gridH_d16_e1152_h12_r4_0,16,1152,12,4.0,0.405,96,4
vith_gridH_d16_e1280_h16_r3_0,16,1280,16,3.0,0.375,80,4
vith_gridH_d24_e1024_h16_r3_0,24,1024,16,3.0,0.36,64,4
vith_gridH_d16_e1152_h12_r3_5,16,1152,12,3.5,0.354375,96,4
vith_gridH_d16_e1024_h16_r4_0,16,1024,16,4.0,0.32,64,4
vith_gridH_d16_e1152_h12_r3_0,16,1152,12,3.0,0.30375,96,4
vith_gridH_d16_e1024_h16_r3_5,16,1024,16,3.5,0.28,64,4
